Samples,Population,Long,Lat,Annual_Mean_Temperature,Mean_Diurnal_Range,Isothermality,Temperature_Seasonality,Max_Temperature,Min_Temperature_of_Coldest_Month,Temperature_Annual_Range,Mean_Temperature_of_Wettest_Quarter,Mean_Temperature_of_Driest_Quarter,Mean_Temperature_of_Warmest_Quarter,Mean_Temperature_of_Coldest_Quarter,Annual_Precipitation,Precipitation_of_Wettest_Month,Precipitation_of_Driest_Month,Precipitation_Seasonality,Precipitation_of_Wettest_Quarter,Precipitation_of_Driest_Quarter,Precipitation_of_Warmest_Quarter,Precipitation_of_Coldest_Quarter
E_58_10382,East,-115.8083,40.8884,7.983333329,15.3999999,38.98734151,866.5588571,27.5,-12,39.5,-1.25,18.86666679,18.88333344,-2.333333413,314,36,12,28.46231486,97,45,57,89
E_71_9958,South,-114.8152,37.9054,12.09166674,20.31666667,46.06953954,856.3581355,33.79999924,-10.30000019,44.09999943,22.56666692,15.20000007,22.9333334,1.966666619,235,25,9,20.96894553,68,46,57,56
E_71_9959,South,-114.8152,37.9054,12.09166674,20.31666667,46.06953954,856.3581355,33.79999924,-10.30000019,44.09999943,22.56666692,15.20000007,22.9333334,1.966666619,235,25,9,20.96894553,68,46,57,56
E_84_1104,East,-114.1502,38.6599,9.50833342,16.96666699,41.48329279,865.9042494,30.20000076,-10.69999981,40.90000057,15.98333371,0.25,20.6833334,-0.599999984,251,27,14,20.16806364,77,48,64,49
E_89_1027B,East,-113.6427,41.449,9.783333272,14.86666662,34.98039204,981.115614,31,-11.5,42.5,19.24999968,-2.133333286,22.33333286,-2.133333286,206,29,12,26.84742333,71,40,58,40
E_89_1027,East,-113.6427,41.449,9.783333272,14.86666662,34.98039204,981.115614,31,-11.5,42.5,19.24999968,-2.133333286,22.33333286,-2.133333286,206,29,12,26.84742333,71,40,58,40
E_89_1028,East,-113.6427,41.449,9.783333272,14.86666662,34.98039204,981.115614,31,-11.5,42.5,19.24999968,-2.133333286,22.33333286,-2.133333286,206,29,12,26.84742333,71,40,58,40
E_89_1029,East,-113.6427,41.449,9.783333272,14.86666662,34.98039204,981.115614,31,-11.5,42.5,19.24999968,-2.133333286,22.33333286,-2.133333286,206,29,12,26.84742333,71,40,58,40
E_90_925,East,-113.9629,41.5426,7.591666599,14.86666648,37.5420876,878.8469396,26.89999962,-12.69999981,39.59999943,15.26666653,2.266666611,18.54999979,-3.083333214,260,32,18,21.55849705,83,55,70,60
E_90_926,East,-113.9629,41.5426,7.591666599,14.86666648,37.5420876,878.8469396,26.89999962,-12.69999981,39.59999943,15.26666653,2.266666611,18.54999979,-3.083333214,260,32,18,21.55849705,83,55,70,60
E_92_931,East,-113.8493,38.6623,9.345833311,16.97499996,40.70743508,890.5040837,30.29999924,-11.39999962,41.69999886,16.01666677,-1.133333286,20.79999971,-1.133333286,256,29,14,23.40953305,79,46,67,46
E_92_932,East,-113.8493,38.6623,9.345833311,16.97499996,40.70743508,890.5040837,30.29999924,-11.39999962,41.69999886,16.01666677,-1.133333286,20.79999971,-1.133333286,256,29,14,23.40953305,79,46,67,46
E_92_933,East,-113.8493,38.6623,9.345833311,16.97499996,40.70743508,890.5040837,30.29999924,-11.39999962,41.69999886,16.01666677,-1.133333286,20.79999971,-1.133333286,256,29,14,23.40953305,79,46,67,46
E_94_10462,East,-113.6333,39.4333,11.5916668,15.73333354,36.76012411,968.513012,32.90000153,-9.899999619,42.80000114,10.43333354,-0.116666635,23.83333365,-0.116666635,192,23,9,26.42598738,61,30,50,30
E_95_930,East,-113.8031,40.1778,9.687499948,14.85833313,37.05320037,913.4030348,29.79999924,-10.30000019,40.09999943,13.46666665,-0.333333294,21.36666648,-1.250000079,205,27,11,26.72522123,70,35,57,35
